# ไฟล์คำศัพท์ภาษาญี่ปุ่น
# รูปแบบ: คำถาม|การอ่าน|ความหมาย
# บรรทัดขึ้นต้น # คือ comment จะถูกข้าม

[JLPT N3 Vocabulary]
ＩＯＣ：国際オリンピック委員会|アイオーシー：こくさいオリンピックいいんかい|คณะกรรมการโอลิมปิกสากล
愛情|あいじょう|ความรัก
アイディア||ความคิด, ไอเดีย
空き地|あきち|ที่ดินว่าง
明らかになる|あきらかになる|ทำให้ชัดเจน, เป็นที่ประจักษ์
あきらめる||ตัดใจ, เลิกหวัง, ยอมแพ้
あきれる||งงจนทำอะไรไม่ถูก, ระอา
（時間／席が）空く|（じかん／せきが）あく|(เวลา/ที่นั่ง) ว่าง
あくび（する）||การหาว
あこがれる||หลงใหลใฝ่ฝัน
朝市|あさいち|ตลาดเช้า, ตลาดนัดตอนเช้า
朝寝坊|あさねぼう|การนอนตื่นสาย
足跡|あしあと|รอยเท้า, ร่องรอย
足が重い|あしがおもい|ขาล้า
味つけ|あじつけ|การปรุงรส
足元|あしもと|บริเวณเท้า
足を止める|あしをとめる|หยุดวิ่งหรือเดิน
あせる||ใจร้อน, รีบร้อน, ผลีผลาม
頭に浮かぶ|あたまにうかぶ|ปรากฏขึ้นมาในหัว, นึกถึง
（賞品が）当たる|（しょうひんが）あたる|ถูก (รางวัล)
あちこち（＝あちらこちら）||ที่โน่นที่นี่, ทางโน้นทางนี้, ตามที่ต่างๆ
あっという間に|あっというまに|ในชั่วพริบตา, ในเสี้ยววินาที
宛先|あてさき|ที่อยู่ของผู้รับที่จ่าไว้หน้าซอง
アドバイス（する）||คำแนะนำ
アニメ||ภาพยนตร์การ์ตูน, แอนิเมชั่น
あぶら||น้ำมัน
甘い|あまい|หวาน, ไม่เข้มงวด, ตามใจเกินเหตุ
甘口|あまくち|รสออกหวาน
甘やかす|あまやかす|ตามใจ (เด็ก)
編む|あむ|ถัก
謝る|あやまる|ขอโทษ
洗い流す|あらいながす|ล้างทิ้ง, ชำระล้าง
改めて|あらためて|ใหม่อีกครั้ง
表れる|あらわれる|ปรากฏให้เห็น
アレルギー||อาการแพ้
あわてる||ผลีผลาม, รีบร้อน
安全面|あんぜんめん|ในด้านความปลอดภัย
胃|い|กระเพาะอาหาร
委員|いいん|กรรมการ, กรรมาธิการ
意外，意外な|いがい，いがいな|ผิดคาด, ไม่คาดคิดมาก่อน
医学|いがく|แพทยศาสตร์
生かす|いかす|ใช้ให้เกิดประโยชน์
息が切れる|いきがきれる|หายใจไม่ทัน, หอบแฮกๆ
息が止まる|いきがとまる|หยุดหายใจ
育児|いくじ|การเลี้ยงเด็ก, การเลี้ยงบุตร
意見を言い合う|いけんをいいあう|แลกเปลี่ยนความคิดเห็น
いじめる||รังแก, กลั่นแกล้ง
異常|いじょう|ผิดปกติ, พิสดาร, พิลึก
意地悪，意地悪な|いじわる，いじわるな|แกล้งให้ผู้อื่นเดือดร้อน
以前|いぜん|ก่อนหน้านี้, เมื่อก่อน, สมัยก่อน
いたずら||ซุกซน
いたむ||เจ็บ, ปวด
いちご||สตรอเบอร์รี่
一流|いちりゅう|อันดับหนึ่ง, ชั้นหนึ่ง
一気に|いっきに|รวดเดียว, พรวดเดียว
いっせいに||โดยพร้อมเพรียงกัน
一定|いってい|กำหนดไว้แน่นอน, ตายตัว, คงที่
一般常識|いっぱんじょうしき|ความรู้ทั่วไป
一般の|いっぱんの|โดยทั่วไป
一歩も歩けない|いっぽもあるけない|เดินไม่ไหวแม้แต่ก้าวเดียว
田舎|いなか|ต่างจังหวัด, ชนบท, บ้านนอก
イベント||กิจกรรมพิเศษในเทศกาลหรือโอกาสต่างๆ, อีเวนต์
いやな||ไม่ชอบ, น่ารังเกียจ, ไม่เอา
～員|～いん|สมาชิกของ... ผู้จัดตั้งองค์กรหนึ่ง ผู้รับผิดชอบงานอย่างใดอย่างหนึ่ง
印象|いんしょう|ความรู้สึกที่ได้เห็นหรือได้ยิน, ความรู้สึกที่ติดตรึงในใจ
インターンシップ||การฝึกงาน
引退（する）|いんたい（する）|การถอนตัว, การออกจากวงการ
ウイルス||ไวรัส
ウイルスソフト||ซอฟต์แวร์กำจัดไวรัส
ウェディングドレス||ชุดแต่งงาน
受かる|うかる|สอบได้, สอบติด, สอบผ่าน
受け付ける|うけつける|รับ (ใบสมัคร), รับฟัง, รับเข้ามา
ウサギ||กระต่าย
失う|うしなう|สูญเสีย
（空気が）薄い|（くうきが）うすい|(อากาศ) เบาบาง/น้อย
うそ||การโกหก, เรื่องโกหก
うそをつく||โกหก
（銃で）撃つ|（じゅうで）うつ|ยิง (ปืน)
写す|うつす|ถ่าย (สำเนา, รูป), ลอก (แบบ)
（病気が）うつる|（びょうきが）うつる|(โรค) ติดคนอื่น
うどん||อุด้ง (อาหารประเภทเส้นของญี่ปุ่น)
うなぎ||ปลาไหล
馬|うま|ม้า
生まれ育つ|うまれそだつ|เกิดและเติบโต
生まれつき|うまれつき|เป็นมาแต่กำเนิด
占い|うらない|การทำนาย
売上|うりあげ|ยอดขาย
上着|うわぎ|เสื้อตัวนอก, เสื้อนอกตัวเสื้อ
うわさ||ข่าวลือ, เสียงเล่าลือ
上回る|うわまわる|มากกว่า, มากเกิน
影響（する）|えいきょう（する）|ผลกระทบ, การมีอิทธิพลต่อ
営業時間|えいぎょうじかん|เวลาทำการ
営業部|えいぎょうぶ|ฝ่ายขาย (ในบริษัท)
栄養|えいよう|สารอาหาร, คุณค่าทางโภชนาการ
エネルギー||พลังงาน
絵はがき|えはがき|แผ่นภาพที่เป็นไปรษณียบัตร, โปสการ์ด
えび||กุ้ง
演技（する）|えんぎ（する）|ความสามารถทางการแสดง, การเล่นละครตบตา
演劇|えんげき|ศิลปะการละคร
援助（する）|えんじょ（する）|ความช่วยเหลือ, การอนุเคราะห์, การสงเคราะห์
演じる|えんじる|แสดง (ละคร), สวมบท
演奏（する）|えんそう（する）|การบรรเลงดนตรี
延長（する）|えんちょう（する）|การต่อเวลา, การยืดระยะเวลาหรือระยะทาง
～円引き|～えんびき|ลดราคา...เยน : ใช้เมื่อมีลดราคาจากป้าย
遠慮（する）|えんりょ（する）|ความเกรงใจ
お祈り（する）|おいのり（する）|การอธิษฐาน, การภาวนา
（傷を）負う|（きずを）おう|ได้รับ (บาดเจ็บ)
応援（する）|おうえん（する）|การช่วยสนับสนุน, การเชียร์
応接室|おうせつしつ|ห้องรับแขก
応募（する）|おうぼ（する）|การสมัคร
大雨|おおあめ|ฝนที่ตกหนัก
大型|おおがた|ขนาดใหญ่
多くの|おおくの|จำนวนมาก, ส่วนใหญ่
大声|おおごえ|เสียงดัง
大騒ぎ|おおさわぎ|เอะอะโวยวาย, วุ่นวายสับสน
大つぶの雨|おおつぶのあめ|ฝนเม็ดใหญ่
大幅に|おおはばに|กว้างกว่าปกติ, (เพิ่มหรือลด) มาก
オープン（する）|オープン（する）|การเปิดกิจการ, การเปิดแก่คนทั่วไป
大家：賃貸アパートやマンションのオーナー|おおや|เจ้าของบ้านเช่า : เจ้าของแมนชั่นหรืออพาร์ตเมนต์ให้เช่า
起き上がる|おきあがる|ลุกขึ้น (จากท่านอน)
お気に入り|おきにいり|ชื่นชอบ, ถูกใจ
奥|おく|ก้น (ถุง, ซอย), ส่วนลึก, ซอกในสุด
屋上|おくじょう|ดาดฟ้า
贈る|おくる|กำนัล, ให้เป็นของขวัญ
おじ||ลุง (ของตน)
おしゃべり（する）||การพูดคุยเรื่องสัพเพเหระ
おしゃべり，おしゃべりな||พูดมาก, ปากโป้ง, คนช่างพูด
お嬢さん：ほかの人の娘を丁寧に呼ぶときに使う|おじょうさん|คุณหนู, คุณผู้หญิง : ใช้เรียกลูกสาวของผู้อื่นอย่างสุภาพ
お相撲さん|おすもうさん|นักซูโม่
お互い|おたがい|ซึ่งกันและกัน, ต่อกัน
落ち込む|おちこむ|ท้อแท้, หมดกำลังใจ, ตกอยู่ในสภาพเลวร้าย
お茶会|おちゃかい|งานเลี้ยงน้ำชาแบบเป็นทางการ
（お）年寄り|（お）としより|ผู้สูงอายุ, คนชรา
訪れる|おとずれる|เยี่ยมเยือน
おほめの言葉|おほめのことば|คำชม
お巡りさん（＝警察官）|おまわりさん|ตำรวจ
お見舞い|おみまい|การเยี่ยมคนป่วยหรือผู้ประสบภัย, การส่งจดหมายหรือของกำนัลไปคารวะทักทาย
思い出す|おもいだす|นึกถึง, นึกออก, ระลึกถึง
思い通り|おもいどおり|อย่างที่คิด, ตามความคาดหมาย
おもちゃ||ของเล่น
思ったほど～ない|おもったほど～ない|ไม่...เท่าที่คิด
オリンピック||โอลิมปิก
おれ：男性が自分をさすときに使う|おれ|ฉัน : ผู้ชายใช้ระบุถึงตัวเอง วิธีพูดแบบไม่เป็นทางการ
おわび||คำขอโทษ, คำขออภัย
音楽家|おんがくか|นักดนตรี
温暖な|おんだんな|อากาศอบอุ่น
御礼：「お礼」のさらにていねいな言い方|おんれい|การแสดงความขอบคุณ : วิธีพูดที่สุภาพกว่า お礼
～家：職業や趣味などから人物をさすときに使う|～か|ผู้เชี่ยวชาญด้าน... : ใช้ระบุถึงบุคคลผู้มีความเชี่ยวชาญจากอาชีพ งานอดิเรก ฯลฯ
蚊|か|ยุง
課：会社などの組織の中の区分|か|แผนก : ส่วนหนึ่งขององค์กรเช่นในบริษัท
ガーデニング||การทำสวน
会員|かいいん|สมาชิก
開花（する）|かいか（する）|การเบ่งบาน, การส่องประกายให้เห็น, ฉายแวว
海外研修|かいがいけんしゅう|การไปฝึกอบรมหรือดูงานที่ต่างประเทศ
外国製|がいこくせい|ผลิตภัณฑ์ที่ทำในต่างประเทศ
開催（する）|かいさい（する）|การจัด (งานพิธี, การประชุม)
